date,precipitation,temp_max,temp_min,wind,weather,tmax_tomorrow
01-01-2012,0,12.8,5,4.7,drizzle,10.6
02-01-2012,10.9,10.6,2.8,4.5,rain,11.7
03-01-2012,0.8,11.7,7.2,2.3,rain,12.2
04-01-2012,20.3,12.2,5.6,4.7,rain,8.9
05-01-2012,1.3,8.9,2.8,6.1,rain,4.4
06-01-2012,2.5,4.4,2.2,2.2,rain,7.2
07-01-2012,0,7.2,2.8,2.3,rain,10
08-01-2012,0,10,2.8,2,sun,9.4
09-01-2012,4.3,9.4,5,3.4,rain,6.1
10-01-2012,1,6.1,0.6,3.4,rain,6.1
11-01-2012,0,6.1,-1.1,5.1,sun,6.1
12-01-2012,0,6.1,-1.7,1.9,sun,5
13-01-2012,0,5,-2.8,1.3,sun,4.4
14-01-2012,4.1,4.4,0.6,5.3,snow,1.1
15-01-2012,5.3,1.1,-3.3,3.2,snow,1.7
16-01-2012,2.5,1.7,-2.8,5,snow,3.3
17-01-2012,8.1,3.3,0,5.6,snow,0
18-01-2012,19.8,0,-2.8,5,snow,-1.1
19-01-2012,15.2,-1.1,-2.8,1.6,snow,7.2
20-01-2012,13.5,7.2,-1.1,2.3,snow,8.3
21-01-2012,3,8.3,3.3,8.2,rain,6.7
22-01-2012,6.1,6.7,2.2,4.8,rain,8.3
23-01-2012,0,8.3,1.1,3.6,rain,10
24-01-2012,8.6,10,2.2,5.1,rain,8.9
25-01-2012,8.1,8.9,4.4,5.4,rain,8.9
26-01-2012,4.8,8.9,1.1,4.8,rain,6.7
27-01-2012,0,6.7,-2.2,1.4,drizzle,6.7
28-01-2012,0,6.7,0.6,2.2,rain,9.4
29-01-2012,27.7,9.4,3.9,4.5,rain,8.3
30-01-2012,3.6,8.3,6.1,5.1,rain,9.4
31-01-2012,1.8,9.4,6.1,3.9,rain,8.9
01-02-2012,13.5,8.9,3.3,2.7,rain,8.3
02-02-2012,0,8.3,1.7,2.6,sun,14.4
03-02-2012,0,14.4,2.2,5.3,sun,15.6
04-02-2012,0,15.6,5,4.3,sun,13.9
05-02-2012,0,13.9,1.7,2.9,sun,16.1
06-02-2012,0,16.1,1.7,5,sun,15.6
07-02-2012,0.3,15.6,7.8,5.3,rain,10
08-02-2012,2.8,10,5,2.7,rain,11.1
09-02-2012,2.5,11.1,7.8,2.4,rain,12.8
10-02-2012,2.5,12.8,6.7,3,rain,8.9
11-02-2012,0.8,8.9,5.6,3.4,rain,8.3
12-02-2012,1,8.3,5,1.3,rain,7.2
13-02-2012,11.4,7.2,4.4,1.4,rain,6.7
14-02-2012,2.5,6.7,1.1,3.1,rain,7.2
15-02-2012,0,7.2,0.6,1.8,drizzle,7.2
16-02-2012,1.8,7.2,3.3,2.1,rain,10
17-02-2012,17.3,10,4.4,3.4,rain,6.7
18-02-2012,6.4,6.7,3.9,8.1,rain,6.7
19-02-2012,0,6.7,2.2,4.7,sun,7.8
20-02-2012,3,7.8,1.7,2.9,rain,10
21-02-2012,0.8,10,7.8,7.5,rain,10
22-02-2012,8.6,10,2.8,5.9,rain,8.3
23-02-2012,0,8.3,2.8,3.9,sun,6.7
24-02-2012,11.4,6.7,4.4,3.5,rain,7.2
25-02-2012,0,7.2,2.8,6.4,rain,5
26-02-2012,1.3,5,-1.1,3.4,snow,6.7
27-02-2012,0,6.7,-2.2,3,sun,6.7
28-02-2012,3.6,6.7,-0.6,4.2,snow,5
29-02-2012,0.8,5,1.1,7,snow,6.1
01-03-2012,0,6.1,1.1,3.1,sun,6.7
02-03-2012,2,6.7,3.9,5.1,rain,12.2
03-03-2012,0,12.2,6.7,7,sun,10.6
04-03-2012,0,10.6,6.7,5.6,rain,7.8
05-03-2012,6.9,7.8,1.1,6.2,rain,6.7
06-03-2012,0.5,6.7,0,2.7,snow,8.9
07-03-2012,0,8.9,-1.7,2.7,sun,15.6
08-03-2012,0,15.6,0.6,2.5,sun,9.4
09-03-2012,3.6,9.4,5,2.8,rain,7.2
10-03-2012,10.4,7.2,6.1,3.4,rain,6.7
11-03-2012,13.7,6.7,2.8,5.8,rain,8.3
12-03-2012,19.3,8.3,0.6,6.2,snow,5.6
13-03-2012,9.4,5.6,0.6,5.3,snow,7.8
14-03-2012,8.6,7.8,1.1,4.7,rain,11.1
15-03-2012,23.9,11.1,5.6,5.8,snow,8.9
16-03-2012,8.4,8.9,3.9,5.1,rain,10
17-03-2012,9.4,10,0.6,3.8,snow,5
18-03-2012,3.6,5,-0.6,2.7,rain,7.2
19-03-2012,2,7.2,-1.1,3,rain,7.8
20-03-2012,3.6,7.8,2.2,6.4,rain,8.9
21-03-2012,1.3,8.9,1.1,2.5,rain,10
22-03-2012,4.1,10,1.7,2.1,rain,12.2
23-03-2012,0,12.2,0.6,2.8,sun,15
24-03-2012,0,15,3.3,5.2,sun,13.3
25-03-2012,0,13.3,2.2,2.7,rain,12.8
26-03-2012,0,12.8,6.1,4.3,drizzle,14.4
27-03-2012,4.8,14.4,6.7,3.8,rain,10.6
28-03-2012,1.3,10.6,7.2,5.9,rain,10
29-03-2012,27.4,10,6.1,4.4,rain,9.4
30-03-2012,5.6,9.4,5,4.7,rain,10
31-03-2012,13.2,10,2.8,3.4,rain,8.9
01-04-2012,1.5,8.9,4.4,6.8,rain,16.7
02-04-2012,0,16.7,4.4,3.1,sun,11.7
03-04-2012,1.5,11.7,3.3,3.1,rain,10.6
04-04-2012,0,10.6,2.8,2.1,sun,9.4
05-04-2012,4.6,9.4,2.8,1.8,snow,11.1
06-04-2012,0.3,11.1,3.3,2.6,rain,16.1
07-04-2012,0,16.1,1.7,4.3,sun,21.1
08-04-2012,0,21.1,7.2,4.1,sun,20
09-04-2012,0,20,6.1,2.1,sun,17.8
10-04-2012,0,17.8,8.9,3.2,rain,11.1
11-04-2012,2.3,11.1,7.2,2.6,rain,13.9
12-04-2012,0.5,13.9,5.6,2.6,rain,15
13-04-2012,0,15,3.9,4,drizzle,15.6
14-04-2012,0,15.6,3.3,3,sun,16.1
15-04-2012,0,16.1,7.2,2.9,rain,13.3
16-04-2012,8.1,13.3,6.7,5.8,rain,10
17-04-2012,1.8,10,4.4,2,rain,13.3
18-04-2012,1.8,13.3,7.2,3.9,rain,13.9
19-04-2012,10.9,13.9,5,2.6,rain,13.3
20-04-2012,6.6,13.3,6.7,2.7,rain,20
21-04-2012,0,20,4.4,2.3,sun,23.3
22-04-2012,0,23.3,8.3,2.6,rain,21.7
23-04-2012,0,21.7,8.9,3.5,sun,13.9
24-04-2012,4.3,13.9,10,2.8,rain,16.7
25-04-2012,10.7,16.7,8.9,2.6,rain,13.9
26-04-2012,3.8,13.9,6.7,5.2,rain,13.3
27-04-2012,0.8,13.3,6.1,4.8,rain,16.1
28-04-2012,0,16.1,8.3,2.5,drizzle,15.6
29-04-2012,4.3,15.6,8.9,1.6,rain,12.8
30-04-2012,4.3,12.8,7.2,8,rain,11.7
01-05-2012,0.5,11.7,6.1,6.4,rain,13.3
02-05-2012,0.5,13.3,5.6,2.5,rain,11.1
03-05-2012,18.5,11.1,7.2,3.4,rain,12.2
04-05-2012,1.8,12.2,6.1,4.6,rain,13.3
05-05-2012,0,13.3,5,2.3,sun,17.8
06-05-2012,0,17.8,5,2.4,sun,23.9
07-05-2012,0,23.9,6.1,2.2,sun,18.3
08-05-2012,0,18.3,9.4,3,sun,13.3
09-05-2012,0,13.3,6.7,3.9,rain,14.4
10-05-2012,0,14.4,3.9,3,sun,18.3
11-05-2012,0,18.3,4.4,4.3,sun,24.4
12-05-2012,0,24.4,6.7,3.4,sun,25.6
13-05-2012,0,25.6,9.4,4.2,sun,26.7
14-05-2012,0,26.7,12.8,3.8,sun,24.4
15-05-2012,0,24.4,9.4,4.1,drizzle,19.4
16-05-2012,0,19.4,9.4,3.5,sun,17.8
17-05-2012,0,17.8,6.7,2.9,rain,15.6
18-05-2012,0,15.6,7.8,3.1,rain,19.4
19-05-2012,0,19.4,7.2,1.5,sun,14.4
20-05-2012,6.4,14.4,11.7,1.3,rain,16.7
21-05-2012,14,16.7,10,4,rain,12.8
22-05-2012,6.1,12.8,8.9,4.8,rain,14.4
23-05-2012,0.3,14.4,8.9,6.3,rain,17.2
24-05-2012,0,17.2,8.9,3.3,rain,22.2
25-05-2012,0,22.2,8.9,3.1,rain,22.2
26-05-2012,0,22.2,8.9,3.6,sun,17.2
27-05-2012,0,17.2,11.7,3.7,sun,16.7
28-05-2012,0,16.7,10,3.4,rain,16.1
29-05-2012,0,16.1,7.8,1.8,sun,18.9
30-05-2012,0.3,18.9,11.1,1.5,rain,17.8
31-05-2012,3.8,17.8,12.2,2.7,rain,20
01-06-2012,6.6,20,12.8,3.7,rain,18.9
02-06-2012,0.3,18.9,10.6,3.7,rain,17.2
03-06-2012,0,17.2,9.4,2.9,sun,12.8
04-06-2012,1.3,12.8,8.9,3.1,rain,13.3
05-06-2012,16,13.3,8.3,3.3,rain,16.1
06-06-2012,0,16.1,6.1,3.4,sun,16.1
07-06-2012,16.5,16.1,8.9,3.5,rain,15
08-06-2012,1.5,15,8.3,3,rain,17.2
09-06-2012,0,17.2,8.3,4.7,rain,18.9
10-06-2012,0,18.9,10,2.9,sun,23.3
11-06-2012,0,23.3,10,1.8,rain,18.3
12-06-2012,0.8,18.3,12.8,3.9,rain,16.1
13-06-2012,0,16.1,11.1,4.3,sun,17.2
14-06-2012,0,17.2,10,2.7,sun,22.2
15-06-2012,0,22.2,9.4,1.7,sun,21.1
16-06-2012,0,21.1,15,4.1,rain,18.9
17-06-2012,0,18.9,11.7,6.4,sun,17.2
18-06-2012,3,17.2,10,3.8,rain,19.4
19-06-2012,1,19.4,10,3,rain,24.4
20-06-2012,0,24.4,10,3,sun,23.9
21-06-2012,0,23.9,11.7,2.1,sun,13.9
22-06-2012,15.7,13.9,11.7,1.9,rain,15.6
23-06-2012,8.6,15.6,9.4,2.5,rain,19.4
24-06-2012,0,19.4,9.4,2,drizzle,19.4
25-06-2012,0.5,19.4,11.1,3.1,rain,18.3
26-06-2012,0,18.3,10.6,3.4,rain,22.8
27-06-2012,0,22.8,8.9,1.8,sun,22.2
28-06-2012,0,22.2,11.7,2.5,rain,21.7
29-06-2012,0.3,21.7,15,1.9,rain,20
30-06-2012,3,20,13.3,2.4,rain,20
01-07-2012,0,20,12.2,2.3,rain,18.9
02-07-2012,2,18.9,11.7,2.1,rain,18.3
03-07-2012,5.8,18.3,10.6,6,rain,20.6
04-07-2012,0,20.6,9.4,3.8,sun,24.4
05-07-2012,0,24.4,10.6,3.1,drizzle,25
06-07-2012,0,25,11.1,2.1,sun,26.7
07-07-2012,0,26.7,12.8,3.8,sun,28.3
08-07-2012,0,28.3,14.4,2.8,rain,25
09-07-2012,1.5,25,12.8,2,rain,23.9
10-07-2012,0,23.9,11.1,2.3,drizzle,27.8
11-07-2012,0,27.8,13.3,2.9,fog,25.6
12-07-2012,0,25.6,13.3,2.7,drizzle,23.3
13-07-2012,0.5,23.3,13.9,2.2,rain,25
14-07-2012,0,25,15,2.2,rain,18.9
15-07-2012,0,18.9,13.3,3.8,rain,26.1
16-07-2012,0.3,26.1,13.3,2.5,rain,21.7
17-07-2012,0,21.7,15,2.6,sun,21.1
18-07-2012,0,21.1,14.4,2.9,sun,25
19-07-2012,0,25,14.4,2.2,sun,19.4
20-07-2012,15.2,19.4,13.9,4,rain,23.9
21-07-2012,0,23.9,13.9,2.3,sun,20.6
22-07-2012,1,20.6,12.2,3.9,rain,18.9
23-07-2012,0,18.9,11.1,3.3,rain,23.3
24-07-2012,0,23.3,12.2,4.3,sun,26.7
25-07-2012,0,26.7,12.8,2.6,sun,25.6
26-07-2012,0,25.6,12.8,2.2,drizzle,18.9
27-07-2012,0,18.9,13.9,2.8,drizzle,22.2
28-07-2012,0,22.2,13.3,1.7,drizzle,22.8
29-07-2012,0,22.8,15,2,sun,19.4
30-07-2012,0,19.4,13.3,3,sun,22.8
31-07-2012,0,22.8,13.9,2.8,sun,23.9
01-08-2012,0,23.9,13.3,2.2,drizzle,23.3
02-08-2012,0,23.3,12.2,2.5,sun,27.2
03-08-2012,0,27.2,12.8,3.9,sun,33.9
04-08-2012,0,33.9,16.7,3.7,sun,33.9
05-08-2012,0,33.9,17.8,1.9,sun,28.3
06-08-2012,0,28.3,15.6,2.5,rain,21.1
07-08-2012,0,21.1,15,2.6,drizzle,22.2
08-08-2012,0,22.2,15,3.1,sun,24.4
09-08-2012,0,24.4,14.4,3.8,drizzle,25.6
10-08-2012,0,25.6,12.2,2.3,sun,28.3
11-08-2012,0,28.3,13.3,2.5,sun,30.6
12-08-2012,0,30.6,15,3,sun,30.6
13-08-2012,0,30.6,15,2.8,sun,28.9
14-08-2012,0,28.9,13.9,2.8,sun,31.1
15-08-2012,0,31.1,16.7,4.7,sun,34.4
16-08-2012,0,34.4,18.3,2.8,sun,32.8
17-08-2012,0,32.8,16.1,1.8,sun,21.7
18-08-2012,0,21.7,14.4,3,drizzle,23.3
19-08-2012,0,23.3,15,2.7,drizzle,25.6
20-08-2012,0,25.6,15,1.9,sun,23.3
21-08-2012,0,23.3,13.3,3,rain,22.2
22-08-2012,0,22.2,13.3,2.3,sun,21.1
23-08-2012,0,21.1,13.9,3.8,sun,22.2
24-08-2012,0,22.2,10,3.3,sun,26.1
25-08-2012,0,26.1,11.7,3.2,sun,21.1
26-08-2012,0,21.1,12.2,3.4,sun,23.9
27-08-2012,0,23.9,13.3,1.8,sun,22.8
28-08-2012,0,22.8,12.2,3.2,sun,22.8
29-08-2012,0,22.8,13.3,2.4,sun,22.8
30-08-2012,0,22.8,12.8,1.9,sun,22.2
31-08-2012,0,22.2,10.6,2.9,sun,21.7
01-09-2012,0,21.7,10.6,2.1,sun,21.1
02-09-2012,0,21.1,10,2,sun,22.8
03-09-2012,0,22.8,12.8,3.3,sun,24.4
04-09-2012,0,24.4,11.1,3.1,sun,26.1
05-09-2012,0,26.1,11.7,2.6,sun,28.3
06-09-2012,0,28.3,14.4,4.2,sun,32.2
07-09-2012,0,32.2,13.3,3.1,sun,25
08-09-2012,0,25,13.3,3,sun,18.9
09-09-2012,0.3,18.9,13.9,5,rain,20
10-09-2012,0.3,20,11.7,3.9,rain,20
11-09-2012,0,20,8.9,4.2,sun,22.2
12-09-2012,0,22.2,10,5.6,sun,27.8
13-09-2012,0,27.8,11.7,3.6,sun,26.1
14-09-2012,0,26.1,11.1,1.5,sun,22.2
15-09-2012,0,22.2,11.1,1.9,sun,24.4
16-09-2012,0,24.4,9.4,2.3,sun,27.8
17-09-2012,0,27.8,11.7,2.2,fog,27.8
18-09-2012,0,27.8,11.7,1.4,sun,23.9
19-09-2012,0,23.9,11.7,1.9,drizzle,19.4
20-09-2012,0,19.4,10,2.5,drizzle,16.1
21-09-2012,0,16.1,12.8,2.1,drizzle,19.4
22-09-2012,0.3,19.4,11.7,1.1,rain,19.4
23-09-2012,0,19.4,10,1.4,fog,21.1
24-09-2012,0,21.1,10,1.8,fog,19.4
25-09-2012,0,19.4,11.1,1.7,sun,19.4
26-09-2012,0,19.4,9.4,1.7,drizzle,22.8
27-09-2012,0,22.8,10,1.7,drizzle,25
28-09-2012,0,25,12.2,1.1,rain,20.6
29-09-2012,0,20.6,12.2,4.3,sun,21.1
30-09-2012,0,21.1,7.8,3.1,sun,23.3
01-10-2012,0,23.3,8.9,3,sun,17.8
02-10-2012,0,17.8,10,4.1,sun,18.9
03-10-2012,0,18.9,7.8,7.3,sun,18.9
04-10-2012,0,18.9,8.3,6.5,sun,21.7
05-10-2012,0,21.7,8.9,5.7,sun,23.9
06-10-2012,0,23.9,7.8,5.1,sun,23.9
07-10-2012,0,23.9,7.8,1.3,sun,21.1
08-10-2012,0,21.1,7.8,1.9,sun,16.1
09-10-2012,0,16.1,8.9,1.6,drizzle,12.2
10-10-2012,0,12.2,8.3,1.4,drizzle,13.9
11-10-2012,0,13.9,7.2,1.3,drizzle,13.9
12-10-2012,2,13.9,8.9,4.6,rain,15.6
13-10-2012,4.8,15.6,12.2,3.9,rain,17.8
14-10-2012,16.5,17.8,13.3,3.4,rain,17.2
15-10-2012,7.9,17.2,11.1,4.6,rain,16.1
16-10-2012,0,16.1,8.3,5.5,sun,14.4
17-10-2012,0,14.4,6.1,1.6,sun,17.8
18-10-2012,20.8,17.8,6.7,2,rain,15
19-10-2012,4.8,15,9.4,5.3,rain,11.1
20-10-2012,0.5,11.1,6.1,5.7,rain,11.7
21-10-2012,6.4,11.7,4.4,2.7,rain,7.8
22-10-2012,8.9,7.8,3.3,2.6,rain,11.1
23-10-2012,0,11.1,5.6,3,rain,11.7
24-10-2012,7.1,11.7,6.1,2.1,rain,11.7
25-10-2012,0,11.7,6.7,1.5,sun,11.1
26-10-2012,1.5,11.1,7.2,2.5,rain,14.4
27-10-2012,23.1,14.4,9.4,5.1,rain,14.4
28-10-2012,6.1,14.4,10,3.8,rain,15.6
29-10-2012,10.9,15.6,10,4.9,rain,15
30-10-2012,34.5,15,12.2,2.8,rain,15.6
31-10-2012,14.5,15.6,11.1,2.7,rain,15
01-11-2012,9.7,15,10.6,3,rain,15
02-11-2012,5.6,15,10.6,1,rain,15.6
03-11-2012,0.5,15.6,11.1,3.6,rain,17.8
04-11-2012,8.1,17.8,12.8,3.8,rain,15
05-11-2012,0.8,15,7.8,4,rain,12.8
06-11-2012,0.3,12.8,6.7,3.5,rain,12.2
07-11-2012,0,12.2,3.9,3.4,rain,10
08-11-2012,0,10,1.1,3.4,rain,8.9
09-11-2012,0,8.9,1.1,2,rain,7.8
10-11-2012,0,7.8,-0.6,2.2,sun,8.9
11-11-2012,15.2,8.9,1.1,3,rain,12.8
12-11-2012,3.6,12.8,6.1,3,rain,11.1
13-11-2012,5.3,11.1,7.8,2.5,rain,11.1
14-11-2012,0.8,11.1,5,2.6,rain,9.4
15-11-2012,0,9.4,2.8,2.4,drizzle,9.4
16-11-2012,5.6,9.4,2.2,1.6,rain,12.2
17-11-2012,6.1,12.2,6.1,5.3,rain,10
18-11-2012,7.9,10,6.1,4.9,rain,13.3
19-11-2012,54.1,13.3,8.3,6,rain,11.1
20-11-2012,3.8,11.1,7.2,4.2,rain,8.3
21-11-2012,11.2,8.3,3.9,5.5,rain,8.9
22-11-2012,0,8.9,2.8,1.5,rain,9.4
23-11-2012,32,9.4,6.1,2.4,rain,8.9
24-11-2012,0,8.9,3.9,1.2,rain,8.3
25-11-2012,0,8.3,1.1,3.6,drizzle,9.4
26-11-2012,0,9.4,1.7,3.8,fog,10
27-11-2012,0,10,1.7,1.5,sun,9.4
28-11-2012,2.8,9.4,2.2,2.9,rain,12.8
29-11-2012,1.5,12.8,7.8,4.2,rain,15
30-11-2012,35.6,15,7.8,4.6,rain,13.3
01-12-2012,4.1,13.3,8.3,5.5,rain,8.3
02-12-2012,19.6,8.3,7.2,6.2,rain,9.4
03-12-2012,13,9.4,7.2,4.4,rain,11.7
04-12-2012,14.2,11.7,7.2,6.2,rain,8.9
05-12-2012,1.5,8.9,4.4,5,rain,7.2
06-12-2012,1.5,7.2,6.1,5.1,rain,7.8
07-12-2012,1,7.8,3.3,4.6,rain,6.7
08-12-2012,0,6.7,3.3,2,sun,6.7
09-12-2012,1.5,6.7,2.8,2.1,rain,7.2
10-12-2012,0.5,7.2,5.6,1.8,rain,7.8
11-12-2012,3,7.8,5.6,4.5,rain,6.7
12-12-2012,8.1,6.7,4.4,2,rain,7.2
13-12-2012,2.3,7.2,3.3,2.8,rain,6.1
14-12-2012,7.9,6.1,1.1,1.7,rain,4.4
15-12-2012,5.3,4.4,0.6,5.1,snow,6.7
16-12-2012,22.6,6.7,3.3,5.5,snow,8.3
17-12-2012,2,8.3,1.7,9.5,rain,3.9
18-12-2012,3.3,3.9,0.6,5.3,snow,8.3
19-12-2012,13.7,8.3,1.7,5.8,snow,7.2
20-12-2012,13.2,7.2,0.6,3.7,rain,8.3
21-12-2012,1.8,8.3,-1.7,1.7,rain,8.3
22-12-2012,3.3,8.3,3.9,3.5,rain,7.2
23-12-2012,6.6,7.2,3.3,2.5,rain,5.6
24-12-2012,0.3,5.6,2.8,2.8,rain,5.6
25-12-2012,13.5,5.6,2.8,4.2,snow,6.7
26-12-2012,4.6,6.7,3.3,4.9,rain,7.8
